9,1,15,8
9,2,22,15
9,3,24,19
11,4,23,8
12,5,5,8
12,6,2,12
14,7,7,7
14,8,6,19
15,9,16,3
15,10,24,3
15,11,15,17
16,12,8,4
16,13,3,14
17,14,21,10
18,15,6,19
19,16,18,1
19,17,24,3
19,18,18,5
20,19,10,9
20,20,4,13
21,21,17,2
23,22,20,3
24,23,6,5
24,24,12,10
25,25,24,3
25,26,20,6
25,27,14,11
25,28,18,14
26,29,6,14
27,30,17,7
27,31,17,19
29,32,24,12
31,33,23,1
31,34,25,5
31,35,20,18
32,36,9,10
34,37,12,11
37,38,26,9
37,39,22,13
38,40,9,1
39,41,23,7
39,42,15,14
41,43,23,7
41,44,18,16
42,45,10,15
42,46,9,17
44,47,2,13
45,48,20,2
45,49,20,15
46,50,2,10
46,51,10,14
46,52,9,6
47,53,15,7
49,54,14,2
49,55,14,7
49,56,16,8
50,57,11,6
52,58,2,6
53,59,20,8
53,60,14,12
53,61,18,14
53,62,24,16
54,63,11,10
56,64,2,3
57,65,16,6
60,66,11,4
62,67,2,1
62,68,9,13
63,69,14,3
63,70,19,7
63,71,24,19
64,72,13,16
65,73,20,5
65,74,23,15
66,75,11,19
67,76,14,3
67,77,16,5
67,78,16,8
68,79,4,14
69,80,25,4
69,81,16,15
70,82,11,8
71,83,22,2
71,84,18,17
72,85,4,3
73,86,15,8
74,87,11,10
75,88,15,10
76,89,5,4
76,90,8,14
77,91,26,18
78,92,2,1
78,93,7,10
81,94,25,11
81,95,23,15
81,96,14,19
84,97,4,12
85,98,25,14
85,99,19,15
86,100,3,4
86,101,10,7
86,102,6,8
88,103,9,7
88,104,13,15
90,105,4,3
90,106,2,8
90,107,1,15
91,108,15,1
91,109,19,18
92,110,5,5
94,111,3,10
95,112,14,1
95,113,19,3
95,114,21,11
95,115,24,14
96,116,4,4
96,117,8,16
97,118,15,5
97,119,17,12
97,120,23,18
98,121,1,11
98,122,8,19
99,123,20,13
99,124,15,19
100,125,8,7
100,126,6,12
100,127,6,19
101,128,16,9
101,129,16,16
102,130,1,17
104,131,11,6
104,132,3,8
104,133,2,9
106,134,8,5
106,135,2,16
110,136,3,8
111,137,26,7
111,138,14,15
111,139,21,17
112,140,1,10
113,141,18,7
113,142,14,14
115,143,24,2
116,144,2,19
117,145,15,14
118,146,7,10
119,147,20,12
120,148,2,4
121,149,25,1
121,150,25,4
121,151,25,6
121,152,16,12
122,153,3,1
122,154,1,4
124,155,13,16
125,156,20,1
125,157,15,13
126,158,7,17
127,159,21,1
127,160,23,14
128,161,1,5
128,162,3,6
132,163,3,8
132,164,8,10
132,165,1,17
133,166,20,10
135,167,24,3
135,168,18,10
135,169,23,12
136,170,9,1
136,171,1,2
136,172,1,2
136,173,11,3
136,174,3,3
136,175,8,17
137,176,14,11
137,177,14,14
137,178,15,17
138,179,26,7
139,180,16,11
140,181,13,8
143,182,23,14
144,183,11,13
145,184,23,6
145,185,18,10
146,186,13,17
147,187,15,14
148,188,9,9
149,189,19,3
149,190,25,8
149,191,16,19
150,192,2,2
150,193,7,4
150,194,2,5
151,195,14,13
152,196,2,5
,,26,19
